date,s2_valid_frac,sar_filled_frac,still_unknown
2017-01-14,1.0,0.0,0.0
2017-01-24,1.0,0.0,0.0
2017-02-03,1.0,0.0,0.0
2017-02-23,1.0,0.0,0.0
2017-04-04,1.0,0.0,0.0
2017-04-24,1.0,0.0,0.0
2017-05-14,1.0,0.0,0.0
2017-06-03,1.0,0.0,0.0
2017-10-16,1.0,0.0,0.0
2017-11-05,1.0,0.0,0.0
2017-11-10,1.0,0.0,0.0
2017-11-25,1.0,0.0,0.0
2017-11-30,1.0,0.0,0.0
2017-12-05,1.0,0.0,0.0
2017-12-15,1.0,0.0,0.0
2017-12-25,1.0,0.0,0.0
2018-01-04,1.0,0.0,0.0
2018-01-09,1.0,0.0,0.0
2018-01-14,1.0,0.0,0.0
2018-01-24,1.0,0.0,0.0
2018-01-29,1.0,0.0,0.0
2018-02-03,1.0,0.0,0.0
2018-02-08,1.0,0.0,0.0
2018-02-23,1.0,0.0,0.0
2018-03-10,1.0,0.0,0.0
2018-03-30,1.0,0.0,0.0
2018-04-09,1.0,0.0,0.0
2018-04-19,1.0,0.0,0.0
2018-10-01,1.0,0.0,0.0
2018-10-16,1.0,0.0,0.0
2018-10-26,1.0,0.0,0.0
2018-10-31,0.44627554383651946,0.0,0.5537244561634805
2018-11-15,1.0,0.0,0.0
2018-11-20,1.0,0.0,0.0
2018-11-25,1.0,0.0,0.0
2018-12-15,1.0,0.0,0.0
2018-12-20,1.0,0.0,0.0
2018-12-25,1.0,0.0,0.0
2018-12-30,1.0,0.0,0.0
2019-01-04,0.44627554383651946,0.0,0.5537244561634805
2019-01-09,1.0,0.0,0.0
2019-01-14,1.0,0.0,0.0
2019-01-19,1.0,0.0,0.0
2019-01-24,1.0,0.0,0.0
2019-01-29,1.0,0.0,0.0
2019-02-03,1.0,0.0,0.0
2019-02-08,1.0,0.0,0.0
2019-02-13,1.0,0.0,0.0
2019-02-18,0.9063941990771259,0.0,0.0936058009228741
2019-02-23,1.0,0.0,0.0
2019-02-28,1.0,0.0,0.0
2019-03-05,1.0,0.0,0.0
2019-03-10,1.0,0.0,0.0
2019-03-15,0.8292682926829268,0.0,0.17073170731707318
2019-03-20,1.0,0.0,0.0
2019-03-25,1.0,0.0,0.0
2019-03-30,1.0,0.0,0.0
2019-04-04,1.0,0.0,0.0
2019-04-09,0.44627554383651946,0.0,0.5537244561634805
2019-04-14,1.0,0.0,0.0
2019-04-19,1.0,0.0,0.0
2019-04-24,1.0,0.0,0.0
2019-04-29,1.0,0.0,0.0
2019-05-04,0.7330257086354647,0.0,0.26697429136453527
2019-05-09,1.0,0.0,0.0
2019-05-14,1.0,0.0,0.0
2019-05-19,1.0,0.0,0.0
2019-05-24,1.0,0.0,0.0
2019-05-29,1.0,0.0,0.0
2019-06-03,1.0,0.0,0.0
2019-06-08,1.0,0.0,0.0
2019-06-13,1.0,0.0,0.0
2019-06-18,1.0,0.0,0.0
2019-06-23,0.6262359920896506,0.0,0.37376400791034936
2019-06-28,1.0,0.0,0.0
2019-07-03,0.44627554383651946,0.0,0.5537244561634805
2019-07-08,0.44627554383651946,0.0,0.5537244561634805
2019-07-13,0.44627554383651946,0.0,0.5537244561634805
2019-07-18,0.45088991430454844,0.0,0.5491100856954515
2019-07-23,0.44627554383651946,0.0,0.5537244561634805
2019-07-28,0.44627554383651946,0.0,0.5537244561634805
2019-08-02,0.5695451549110085,0.0,0.43045484508899146
2019-08-07,0.9630850362557679,0.0,0.03691496374423204
2019-08-12,1.0,0.0,0.0
2019-08-17,1.0,0.0,0.0
2019-08-22,0.44627554383651946,0.0,0.5537244561634805
2019-08-27,1.0,0.0,0.0
2019-09-01,1.0,0.0,0.0
2019-09-06,1.0,0.0,0.0
2019-09-11,0.980883322346737,0.0,0.01911667765326302
2019-09-16,0.955833882663151,0.0,0.044166117336849046
2019-09-21,1.0,0.0,0.0
2019-09-26,0.44627554383651946,0.0,0.5537244561634805
2019-10-01,0.7633487145682267,0.0,0.23665128543177325
2019-10-06,0.980883322346737,0.0,0.01911667765326302
2019-10-11,1.0,0.0,0.0
2019-10-16,1.0,0.0,0.0
2019-10-21,0.998022412656559,0.0,0.001977587343441002
2019-10-26,0.976268951878708,0.0,0.023731048121292023
2019-10-31,1.0,0.0,0.0
2019-11-05,1.0,0.0,0.0
2019-11-10,1.0,0.0,0.0
2019-11-15,1.0,0.0,0.0
2019-11-20,1.0,0.0,0.0
2019-11-25,1.0,0.0,0.0
2019-11-30,1.0,0.0,0.0
2019-12-05,1.0,0.0,0.0
2019-12-10,1.0,0.0,0.0
2019-12-15,0.7382992748846408,0.0,0.26170072511535925
2019-12-20,0.7475280158206987,0.0,0.2524719841793013
2019-12-25,0.976268951878708,0.0,0.023731048121292023
2019-12-30,0.8991430454845089,0.0,0.1008569545154911
2020-01-04,0.7705998681608438,0.0,0.22940013183915622
2020-01-09,0.8305866842452209,0.0,0.16941331575477916
2020-01-14,1.0,0.0,0.0
2020-01-19,0.44627554383651946,0.0,0.5537244561634805
2020-01-24,1.0,0.0,0.0
2020-01-29,0.4653922214897825,0.0,0.5346077785102176
2020-02-03,1.0,0.0,0.0
2020-02-08,1.0,0.0,0.0
2020-02-13,1.0,0.0,0.0
2020-02-18,1.0,0.0,0.0
2020-02-23,0.44627554383651946,0.0,0.5537244561634805
2020-02-28,1.0,0.0,0.0
2020-03-04,1.0,0.0,0.0
2020-03-09,1.0,0.0,0.0
2020-03-14,0.44627554383651946,0.0,0.5537244561634805
2020-03-19,0.44627554383651946,0.0,0.5537244561634805
2020-03-24,1.0,0.0,0.0
2020-03-29,1.0,0.0,0.0
2020-04-03,1.0,0.0,0.0
2020-04-08,1.0,0.0,0.0
2020-04-13,1.0,0.0,0.0
2020-04-18,0.44627554383651946,0.0,0.5537244561634805
2020-04-23,0.44627554383651946,0.0,0.5537244561634805
2020-04-28,1.0,0.0,0.0
2020-05-03,1.0,0.0,0.0
2020-05-08,1.0,0.0,0.0
2020-05-13,1.0,0.0,0.0
2020-05-18,1.0,0.0,0.0
2020-05-23,1.0,0.0,0.0
2020-05-28,1.0,0.0,0.0
2020-06-02,1.0,0.0,0.0
2020-06-07,1.0,0.0,0.0
2020-06-12,1.0,0.0,0.0
2020-06-17,0.6882003955174687,0.0,0.3117996044825313
2020-06-22,0.45023071852340146,0.0,0.5497692814765985
2020-06-27,0.44627554383651946,0.0,0.5537244561634805
2020-07-02,1.0,0.0,0.0
2020-07-07,0.4733025708635465,0.0,0.5266974291364536
2020-07-12,1.0,0.0,0.0
2020-07-17,0.4858272907053395,0.0,0.5141727092946605
2020-07-22,0.5009887936717206,0.0,0.4990112063282795
2020-07-27,0.5009887936717206,0.0,0.4990112063282795
2020-08-01,0.44627554383651946,0.0,0.5537244561634805
2020-08-06,0.44627554383651946,0.0,0.5537244561634805
2020-08-11,0.8127883981542519,0.0,0.1872116018457482
2020-08-16,0.44627554383651946,0.0,0.5537244561634805
2020-08-21,0.44627554383651946,0.0,0.5537244561634805
2020-08-26,0.44627554383651946,0.0,0.5537244561634805
2020-08-31,1.0,0.0,0.0
2020-09-05,1.0,0.0,0.0
2020-09-10,0.8253131179960448,0.0,0.17468688200395519
2020-09-15,1.0,0.0,0.0
2020-09-20,0.44627554383651946,0.0,0.5537244561634805
2020-09-25,0.5847066578773896,0.0,0.41529334212261043
2020-09-30,0.7752142386288727,0.0,0.2247857613711272
2020-10-05,0.44627554383651946,0.0,0.5537244561634805
2020-10-10,1.0,0.0,0.0
2020-10-15,1.0,0.0,0.0
2020-10-20,1.0,0.0,0.0
2020-10-25,1.0,0.0,0.0
2020-10-30,1.0,0.0,0.0
2020-11-04,1.0,0.0,0.0
2020-11-09,1.0,0.0,0.0
2020-11-14,1.0,0.0,0.0
2020-11-19,1.0,0.0,0.0
2020-11-24,1.0,0.0,0.0
2020-11-29,1.0,0.0,0.0
2020-12-04,1.0,0.0,0.0
2020-12-09,1.0,0.0,0.0
2020-12-14,0.44627554383651946,0.0,0.5537244561634805
2020-12-19,1.0,0.0,0.0
2020-12-24,1.0,0.0,0.0
2020-12-29,1.0,0.0,0.0
2021-01-03,0.44627554383651946,0.0,0.5537244561634805
2021-01-08,1.0,0.0,0.0
2021-01-13,1.0,0.0,0.0
2021-01-18,1.0,0.0,0.0
2021-01-23,1.0,0.0,0.0
2021-01-28,1.0,0.0,0.0
2021-02-02,1.0,0.0,0.0
2021-02-07,1.0,0.0,0.0
2021-02-12,1.0,0.0,0.0
2021-02-17,1.0,0.0,0.0
2021-02-22,1.0,0.0,0.0
2021-02-27,1.0,0.0,0.0
2021-03-04,1.0,0.0,0.0
2021-03-09,1.0,0.0,0.0
2021-03-14,1.0,0.0,0.0
2021-03-19,0.47659854976928145,0.0,0.5234014502307185
2021-03-24,1.0,0.0,0.0
2021-03-29,1.0,0.0,0.0
2021-04-03,1.0,0.0,0.0
2021-04-08,1.0,0.0,0.0
2021-04-13,1.0,0.0,0.0
2021-04-18,1.0,0.0,0.0
2021-04-23,1.0,0.0,0.0
2021-04-28,0.4759393539881345,0.0,0.5240606460118655
2021-05-03,1.0,0.0,0.0
2021-05-08,0.7185234014502307,0.0,0.2814765985497693
2021-05-13,1.0,0.0,0.0
2021-05-18,0.6585365853658537,0.0,0.34146341463414637
2021-05-23,1.0,0.0,0.0
2021-05-28,0.4614370468029005,0.0,0.5385629531970996
2021-06-02,1.0,0.0,0.0
2021-06-07,0.44627554383651946,0.0,0.5537244561634805
2021-06-12,1.0,0.0,0.0
2021-06-17,0.44693473961766644,0.0,0.5530652603823335
2021-06-22,1.0,0.0,0.0
2021-06-27,0.9611074489123269,0.0,0.03889255108767304
2021-07-02,0.5491100856954515,0.0,0.45088991430454844
2021-07-07,0.5491100856954515,0.0,0.45088991430454844
2021-07-12,1.0,0.0,0.0
2021-07-17,0.45880026367831245,0.0,0.5411997363216875
2021-07-22,0.45880026367831245,0.0,0.5411997363216875
2021-07-27,0.44627554383651946,0.0,0.5537244561634805
2021-08-01,0.44627554383651946,0.0,0.5537244561634805
2021-08-06,0.6710613052076466,0.0,0.3289386947923533
2021-08-11,0.44627554383651946,0.0,0.5537244561634805
2021-08-16,1.0,0.0,0.0
2021-08-21,0.44627554383651946,0.0,0.5537244561634805
2021-08-26,0.44627554383651946,0.0,0.5537244561634805
2021-08-31,1.0,0.0,0.0
2021-09-05,0.984838497033619,0.0,0.015161502966381015
2021-09-10,0.44627554383651946,0.0,0.5537244561634805
2021-09-15,0.44627554383651946,0.0,0.5537244561634805
2021-09-20,1.0,0.0,0.0
2021-09-25,0.44627554383651946,0.0,0.5537244561634805
2021-09-30,0.9195781147000659,0.0,0.08042188529993408
2021-10-05,0.992748846407383,0.0,0.007251153592617007
2021-10-10,1.0,0.0,0.0
2021-10-15,1.0,0.0,0.0
2021-10-20,0.989452867501648,0.0,0.01054713249835201
2021-10-25,1.0,0.0,0.0
2021-10-30,1.0,0.0,0.0
2021-11-04,1.0,0.0,0.0
2021-11-14,1.0,0.0,0.0
2021-11-19,0.964403427818062,0.0,0.035596572181938034
2021-11-24,1.0,0.0,0.0
2021-11-29,1.0,0.0,0.0
2021-12-04,1.0,0.0,0.0
2021-12-09,0.44627554383651946,0.0,0.5537244561634805
2021-12-19,1.0,0.0,0.0
2021-12-24,1.0,0.0,0.0
2021-12-29,0.44627554383651946,0.0,0.5537244561634805
2022-01-03,1.0,0.0,0.0
2022-01-08,0.998022412656559,0.0,0.001977587343441002
2022-01-13,1.0,0.0,0.0
2022-01-18,1.0,0.0,0.0
2022-01-23,1.0,0.0,0.0
2022-01-28,1.0,0.0,0.0
2022-02-02,1.0,0.0,0.0
2022-02-07,1.0,0.0,0.0
2022-02-12,1.0,0.0,0.0
2022-02-17,1.0,0.0,0.0
2022-02-22,1.0,0.0,0.0
2022-02-27,1.0,0.0,0.0
2022-03-04,1.0,0.0,0.0
2022-03-09,1.0,0.0,0.0
2022-03-14,1.0,0.0,0.0
2022-03-19,1.0,0.0,0.0
2022-03-24,1.0,0.0,0.0
2022-03-29,1.0,0.0,0.0
2022-04-03,1.0,0.0,0.0
2022-04-08,1.0,0.0,0.0
2022-04-13,1.0,0.0,0.0
2022-04-18,1.0,0.0,0.0
2022-04-23,1.0,0.0,0.0
2022-04-28,1.0,0.0,0.0
2022-05-03,1.0,0.0,0.0
2022-05-08,1.0,0.0,0.0
2022-05-13,1.0,0.0,0.0
2022-05-18,0.4495715227422544,0.0,0.5504284772577456
2022-05-23,1.0,0.0,0.0
2022-05-28,1.0,0.0,0.0
2022-06-02,0.9492419248516809,0.0,0.05075807514831905
2022-06-07,1.0,0.0,0.0
2022-06-12,1.0,0.0,0.0
2022-06-17,0.46671061305207645,0.0,0.5332893869479235
2022-06-22,0.44627554383651946,0.0,0.5537244561634805
2022-06-27,1.0,0.0,0.0
